timestamp_iso,timestamp_unix,bytes,duration,throughput_bytes_per_sec,status,anomaly_label,anomaly_score
2025-12-06T13:01:34.166934Z,1765026094.1669338,1048576,0.0052659511566162,199123761.08588764,success,-1,-0.06666049463958335
2025-12-06T13:03:06.255080Z,1765026186.2550795,1048576,0.0061109066009521,171590905.97729313,success,-1,-0.06607245855952859
2025-12-06T13:04:08.319942Z,1765026248.319942,1048576,0.0036826133728027,284736922.8993914,success,-1,-0.029104892177303054
2025-12-06T13:05:30.398709Z,1765026330.3987088,1048576,0.0089123249053955,117654597.55233942,success,-1,-0.15254506996846573
2025-12-06T13:06:04.450739Z,1765026364.450739,1048576,0.0045785903930664,229017210.534472,success,-1,-0.05410702166758008
2025-12-06T13:06:22.477401Z,1765026382.4774008,1048576,0.0070436000823974,148869326.44294757,success,-1,-0.0622891655948149
2025-12-06T13:06:26.491939Z,1765026386.491939,1048576,0.0040609836578369,258207392.18599188,success,-1,-0.0021011668903240244
2025-12-06T13:06:30.499355Z,1765026390.499355,1048576,0.007939338684082,132073468.80192192,success,-1,-0.10944052619382072
2025-12-06T13:06:34.514904Z,1765026394.5149045,1048576,0.0034613609313964,302937492.15484226,success,-1,-0.03182040054814417
2025-12-06T13:06:36.518961Z,1765026396.5189612,1048576,0.0067915916442871,154393263.74724427,success,-1,-0.05458563193392707
2025-12-06T13:06:58.545462Z,1765026418.5454624,1048576,0.0040674209594726,257798740.392966,success,-1,-0.0012177559055243092
